record_no,evidence_status,transfer_attribution,name,created_at_utc,modified_at_utc,size_bytes,media_type,asset_id,collaborator_count,share_url,sha256,current_state,source_coordinate
11,VERIFIED_TRUE_ASSET_METADATA,VERIFIED_FALSE_CHATGPT_TRANSFER_NOT_PROVEN,Adobe Scan 2025年12月2日_已編輯.pdf,2025-12-02T10:01:01.027Z,2025-12-02T10:01:04.034Z,349854,application/pdf,urn:aaid:sc:AP:8936a02a-ddd4-4b68-8ab2-c6aa429f8fd2,VERIFIED_FALSE_NOT_READ,VERIFIED_FALSE_NOT_READ,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_SEARCH_TIME,urn:aaid:sc:AP:8936a02a-ddd4-4b68-8ab2-c6aa429f8fd2
12,VERIFIED_TRUE_ASSET_METADATA,VERIFIED_FALSE_CHATGPT_TRANSFER_NOT_PROVEN,名片 2025年12月3日.pdf,2025-12-03T03:49:59.943Z,2025-12-03T03:50:11.396Z,210753,application/pdf,urn:aaid:sc:AP:43038e5c-1dcc-4205-b501-f1af148b07a4,VERIFIED_FALSE_NOT_READ,VERIFIED_FALSE_NOT_READ,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_SEARCH_TIME,urn:aaid:sc:AP:43038e5c-1dcc-4205-b501-f1af148b07a4
13,VERIFIED_TRUE_ASSET_METADATA,VERIFIED_FALSE_CHATGPT_TRANSFER_NOT_PROVEN,名片 2025年12月3日_已擷取.pdf,2025-12-03T03:50:14.704Z,2025-12-03T03:50:24.673Z,213469,application/pdf,urn:aaid:sc:AP:dd36c169-6b3b-4285-8457-f455559e4534,VERIFIED_FALSE_NOT_READ,VERIFIED_FALSE_NOT_READ,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_SEARCH_TIME,urn:aaid:sc:AP:dd36c169-6b3b-4285-8457-f455559e4534
14,VERIFIED_TRUE_ASSET_METADATA,VERIFIED_FALSE_CHATGPT_TRANSFER_NOT_PROVEN,Adobe Scan 2025年12月4日.pdf,2025-12-04T03:33:50.820Z,2025-12-04T03:33:54.043Z,754503,application/pdf,urn:aaid:sc:AP:ff458144-0071-4f53-be5f-ad7ab0fe1672,VERIFIED_FALSE_NOT_READ,VERIFIED_FALSE_NOT_READ,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_SEARCH_TIME,urn:aaid:sc:AP:ff458144-0071-4f53-be5f-ad7ab0fe1672
15,VERIFIED_TRUE_ASSET_METADATA,VERIFIED_FALSE_CHATGPT_TRANSFER_NOT_PROVEN,Adobe Scan 2025年12月4日_已編輯.pdf,2025-12-04T03:34:06.094Z,2025-12-04T03:34:09.875Z,953931,application/pdf,urn:aaid:sc:AP:a07baf03-63f3-4128-b1b3-24287ec93fbf,VERIFIED_FALSE_NOT_READ,VERIFIED_FALSE_NOT_READ,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_SEARCH_TIME,urn:aaid:sc:AP:a07baf03-63f3-4128-b1b3-24287ec93fbf
16,VERIFIED_TRUE_ASSET_METADATA,VERIFIED_FALSE_CHATGPT_TRANSFER_NOT_PROVEN,Adobe Scan 2025年12月4日.docx,2025-12-04T03:38:39.809Z,2025-12-04T03:38:39.809Z,36017,application/vnd.openxmlformats-officedocument.wordprocessingml.document,urn:aaid:sc:AP:235f7953-c2c2-48b1-8e4f-47503f265fdd,VERIFIED_FALSE_NOT_READ,VERIFIED_FALSE_NOT_READ,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_SEARCH_TIME,urn:aaid:sc:AP:235f7953-c2c2-48b1-8e4f-47503f265fdd
17,VERIFIED_TRUE_ASSET_METADATA,VERIFIED_FALSE_CHATGPT_TRANSFER_NOT_PROVEN,Adobe Scan 2025年12月4日 (1).pdf,2025-12-04T09:00:04.697Z,2025-12-04T09:00:07.423Z,308062,application/pdf,urn:aaid:sc:AP:1aab8cdf-8283-42a0-a147-547f9af3899b,VERIFIED_FALSE_NOT_READ,VERIFIED_FALSE_NOT_READ,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_SEARCH_TIME,urn:aaid:sc:AP:1aab8cdf-8283-42a0-a147-547f9af3899b
18,VERIFIED_TRUE_ASSET_METADATA,VERIFIED_FALSE_CHATGPT_TRANSFER_NOT_PROVEN,Adobe Scan 2025年12月17日.pdf,2025-12-17T11:05:36.002Z,2025-12-17T11:05:44.466Z,750284,application/pdf,urn:aaid:sc:AP:846ffad2-b63c-400c-99e9-b2a171665dee,VERIFIED_FALSE_NOT_READ,VERIFIED_FALSE_NOT_READ,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_SEARCH_TIME,urn:aaid:sc:AP:846ffad2-b63c-400c-99e9-b2a171665dee
19,VERIFIED_TRUE_ASSET_METADATA,VERIFIED_FALSE_CHATGPT_TRANSFER_NOT_PROVEN,Adobe Scan 2025年12月17日_已編輯.pdf,2025-12-21T03:58:45.713Z,2025-12-21T03:59:11.867Z,733479,application/pdf,urn:aaid:sc:AP:a685cbd8-b14e-45fa-8db3-fb4b93b725f0,VERIFIED_FALSE_NOT_READ,VERIFIED_FALSE_NOT_READ,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_SEARCH_TIME,urn:aaid:sc:AP:a685cbd8-b14e-45fa-8db3-fb4b93b725f0
20,VERIFIED_TRUE_ASSET_METADATA,VERIFIED_TRUE_CURRENT_TASK_EXACT_MATCH,🥃Whiskey Emoji｜WhiskeyEmoji｜20260727-023644_TPE.zip,2026-07-26T18:37:33.602Z,2026-07-26T18:37:35.24Z,296111,application/zip,urn:aaid:sc:AP:3c78b6e6-efe9-4367-bcdf-90cd64cdbd7f,0,https://www.adobe.com/files/id/urn:aaid:sc:AP:3c78b6e6-efe9-4367-bcdf-90cd64cdbd7f,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_SEARCH_TIME,urn:aaid:sc:AP:3c78b6e6-efe9-4367-bcdf-90cd64cdbd7f
