time_utc,time_tpe,evidence_status,source,event_type,subject,action,operator,path,commit_sha,platform_id,coordinate,details
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A ETERNAL_CORE_POLICY.md,Kevin Yang / committer GitHub,ETERNAL_CORE_POLICY.md,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/ETERNAL_CORE_POLICY.md,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A GARBAGE_GOVERNANCE.md,Kevin Yang / committer GitHub,GARBAGE_GOVERNANCE.md,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/GARBAGE_GOVERNANCE.md,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A GOVERNANCE.md,Kevin Yang / committer GitHub,GOVERNANCE.md,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/GOVERNANCE.md,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A HOW_TO_READ_THIS.md,Kevin Yang / committer GitHub,HOW_TO_READ_THIS.md,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/HOW_TO_READ_THIS.md,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A INTERPRETATION_BOUNDARY.md,Kevin Yang / committer GitHub,INTERPRETATION_BOUNDARY.md,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/INTERPRETATION_BOUNDARY.md,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A LICENSE,Kevin Yang / committer GitHub,LICENSE,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/LICENSE,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A LINEAGE.md,Kevin Yang / committer GitHub,LINEAGE.md,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/LINEAGE.md,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A LKMini.svg,Kevin Yang / committer GitHub,LKMini.svg,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/LKMini.svg,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A LOCATOR.json,Kevin Yang / committer GitHub,LOCATOR.json,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/LOCATOR.json,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A MANIFEST,Kevin Yang / committer GitHub,MANIFEST,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/MANIFEST,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A MANIFEST.json,Kevin Yang / committer GitHub,MANIFEST.json,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/MANIFEST.json,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A MEANING_PRESERVATION.md,Kevin Yang / committer GitHub,MEANING_PRESERVATION.md,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/MEANING_PRESERVATION.md,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A NOTICE,Kevin Yang / committer GitHub,NOTICE,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/NOTICE,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A NOTICE.md,Kevin Yang / committer GitHub,NOTICE.md,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/NOTICE.md,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A PHILOSOPHY.md,Kevin Yang / committer GitHub,PHILOSOPHY.md,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/PHILOSOPHY.md,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A PUBLIC_PRIVATE_BOUNDARY.md,Kevin Yang / committer GitHub,PUBLIC_PRIVATE_BOUNDARY.md,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/PUBLIC_PRIVATE_BOUNDARY.md,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A README.md,Kevin Yang / committer GitHub,README.md,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/README.md,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A RESTORE.md,Kevin Yang / committer GitHub,RESTORE.md,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/RESTORE.md,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A ReverseChain.json,Kevin Yang / committer GitHub,ReverseChain.json,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/ReverseChain.json,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A SEAL.md,Kevin Yang / committer GitHub,SEAL.md,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/SEAL.md,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A SECURITY.md,Kevin Yang / committer GitHub,SECURITY.md,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/SECURITY.md,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A SEMANTIC_ARCHITECTURE.md,Kevin Yang / committer GitHub,SEMANTIC_ARCHITECTURE.md,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/SEMANTIC_ARCHITECTURE.md,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A SEMANTIC_INTEGRITY.md,Kevin Yang / committer GitHub,SEMANTIC_INTEGRITY.md,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/SEMANTIC_INTEGRITY.md,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A SHA256SUMS,Kevin Yang / committer GitHub,SHA256SUMS,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/SHA256SUMS,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A SNAPSHOT.json,Kevin Yang / committer GitHub,SNAPSHOT.json,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/SNAPSHOT.json,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A SYSTEM_STATE.md,Kevin Yang / committer GitHub,SYSTEM_STATE.md,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/SYSTEM_STATE.md,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A THREAT_MODEL.md,Kevin Yang / committer GitHub,THREAT_MODEL.md,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/THREAT_MODEL.md,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A VERSION.md,Kevin Yang / committer GitHub,VERSION.md,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/VERSION.md,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A assets/banner-guardian.svg,Kevin Yang / committer GitHub,assets/banner-guardian.svg,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/assets/banner-guardian.svg,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A assets/banner-math-zhuyin.jpeg,Kevin Yang / committer GitHub,assets/banner-math-zhuyin.jpeg,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/assets/banner-math-zhuyin.jpeg,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A assets/banner-math-zhuyin.svg,Kevin Yang / committer GitHub,assets/banner-math-zhuyin.svg,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/assets/banner-math-zhuyin.svg,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A assets/banner-math.svg,Kevin Yang / committer GitHub,assets/banner-math.svg,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/assets/banner-math.svg,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A assets/banner-poo-guardian.jpeg,Kevin Yang / committer GitHub,assets/banner-poo-guardian.jpeg,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/assets/banner-poo-guardian.jpeg,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A assets/banner-poo-guardian.svg,Kevin Yang / committer GitHub,assets/banner-poo-guardian.svg,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/assets/banner-poo-guardian.svg,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A index.html,Kevin Yang / committer GitHub,index.html,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/index.html,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A install-hooks.sh,Kevin Yang / committer GitHub,install-hooks.sh,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/install-hooks.sh,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A tools/banners-backup.html,Kevin Yang / committer GitHub,tools/banners-backup.html,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/tools/banners-backup.html,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A tools/math-zhuyin-vertical.html,Kevin Yang / committer GitHub,tools/math-zhuyin-vertical.html,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/tools/math-zhuyin-vertical.html,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A tools/package_seed.py,Kevin Yang / committer GitHub,tools/package_seed.py,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/tools/package_seed.py,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A tools/rename_md_by_h1.py,Kevin Yang / committer GitHub,tools/rename_md_by_h1.py,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/tools/rename_md_by_h1.py,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A tools/verify_lkmini.py,Kevin Yang / committer GitHub,tools/verify_lkmini.py,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/tools/verify_lkmini.py,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A ui/perplexity-role-ui.html,Kevin Yang / committer GitHub,ui/perplexity-role-ui.html,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/ui/perplexity-role-ui.html,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A verify-integrity.sh,Kevin Yang / committer GitHub,verify-integrity.sh,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/verify-integrity.sh,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A vpoop/VPoopGuardian_PublicSeed_v1.7.html,Kevin Yang / committer GitHub,vpoop/VPoopGuardian_PublicSeed_v1.7.html,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/vpoop/VPoopGuardian_PublicSeed_v1.7.html,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A vpoop/VPoopGuardian_PublicSeed_v1.8.html,Kevin Yang / committer GitHub,vpoop/VPoopGuardian_PublicSeed_v1.8.html,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/vpoop/VPoopGuardian_PublicSeed_v1.8.html,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A vpoop/index.html,Kevin Yang / committer GitHub,vpoop/index.html,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/vpoop/index.html,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A vpoop/test.txt,Kevin Yang / committer GitHub,vpoop/test.txt,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/vpoop/test.txt,Initial commit
2026-07-06T17:31:11Z,2026-07-07T01:31:11+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A .github/CODEOWNERS,Kevin Yang / committer GitHub,.github/CODEOWNERS,8c704ed68d5bfbc6e27fb12161747f6046fa1d9d,,https://github.com/lkminiPhantomWorld/welcome/blob/8c704ed68d5bfbc6e27fb12161747f6046fa1d9d/.github/CODEOWNERS,Initialize seed_v0
